reviewerID,asin,overall,verified,reviewTime,reviewText,summary
A3ELV1VUCZZGL4,0209688726,4.0,True,"08 12, 2015",it's fine. I just would like the stickers to be a little more secure as I'm not sure I trust the gluing power of it. But for the moment it holds my keys.,Serve its purpose
A2FD3FZ2WV6KHQ,0209688726,2.0,True,"08 12, 2015","took me three returns to get one that didn't wobble, and it's still not super stable but whatever, im tired of returning so ill just deal with it. Too bad because the product actually looks and functions well",and it's still not super stable but whatever
A39NRKABAVSVSE,0209688726,2.0,True,"08 11, 2015","While the product is fine the description and picture are wrong. Describing headline states Bamboo and shows a light colored wood. I bought this to match other pieces I have. What I got is much darker. Box was checked ""black"" vs. ""white"" and box states material is plywood (Basswood/Waunut). No packing slip. I will probably give this away to a friend and try to find what I'm looking for elsewhere. I purchased this on 08/08/2015 for $11.99 and I confirmed that I checked the box for ""pattern 1"" which is the light color. Five days later it's now $8.99.",Beware! Description is wrong.
AQSBL5KODHSGW,0209688726,5.0,True,"07 29, 2015","It's beautiful and blends right in with my wooden desk. If you like simple and elegant, this is for you. It stays in place on my desk nicely with the included pads installed. It's a phone stand, not really for charging your phone.","Awesome desk stand, simple and elegant"
AU45OQPK2J5JF,0209688726,5.0,False,"07 11, 2015","I love this stand! I had been looking around for a phone case that would fit my phone and had a kickstand, but this was even better. Not only can you use your phone on this, but you can use tablets and most other devices as well. While the phones sit perfectly in the rack, the tablets would hang over a tad and may seem overpowering, but with the 4 grippers that came with it, it will hold it up perfectly. The grippers work really well in holding this stand steady so that your devices won't fall over because they are too heavy for this stand. I love this stand because it is hands free meaning I could pop a recipe up on my phone or tablet and be able to do everything it says without having to touch the device. I was given the opportunity to receive this stand for free in exchange for my honest and unbiased review. All opinions are 100% my own.",I love this stand
A5TACMBV2GTBS,0209688726,5.0,True,"06 11, 2015","This is a very basic stand. I bought 2, one for my desk at work and one for my end table by the bed. It's inexpensive and does the only thing I need it to do, hold my phone up. When it's charging I turn it landscape. Bought one for my husband and he is happy with it as well.",Handy!
A8WEXFRWX1ZHH,0209688726,4.0,False,"05 1, 2015","After I wrote the below review, the manufacturer contacted me and explained how to use this.  Instead of the (current) picture on Amazon where the phone is placed vertically, you actually use the stand with the phone placed horizontally.  Then the charge / sync cable goes through the hole and you can charge from the side.  When used in landscape position this stand does make more sense so I'm upgrading this review from 2 stars to 4 stars (which I rarely do, but in this case user error) with a star off for lack of documentation.  Manufacturer has said he will include directions and I would also encourage him to update the photos on Amazon with more examples of how this can be used.  The wood quality is indeed good and it's a sturdy little stand.  I'm trying to think of when I'd actually use this stand... perhaps for Facetime chats.  I also think it would be useful for someone in an open office environment if they want to keep their phone on their desk and see alerts / notifications easily.  Hope this updated review helps.  ORIGINAL REVIEW: I am throwing this stand in the garbage.  While it's crafted of a nice wood, it is not functional as near as I can tell.  It does not come with instructions and as you can see from the product description, even that is confusing since the English is poorly translated Chinese.  The iPhone sits on the stand just fine, but when it's on the stand, there is no way the plug on the bottom  will plug in -- the stand blocks it.  If you turn the iPhone over, the plug is on the top, which just looks strange.  And I'm not at all sure what the hole in the back of the stand is supposed to do.  Also included are four plastic feet, again no instructions, so I affixed them to the bottom of the stand and it began to wobble.  Perhaps someone else will figure out how to work this thing and post a review, but as far as I'm concerned, the out of the box experience was terrible.  Sorry, I cannot recommend.  Sample provided in exchange for an honest review.",Works well if you place phone in horizontally (landscape mode).  Needs instructions / more photos here on Amazon
A262RPUOSCPP51,0209688726,5.0,True,"04 20, 2018",It's very convenient that I can put it in my car and carry around. And I can also vacuum my car whenever I want even I am not at home.,It's very convenient that I can put it in my ...
ABRUILETFGA81,0209688726,5.0,True,"04 19, 2018","Second time buying a car vacuum cleaner, and this one comes with a bag which is satisfying. Not big capacity, but convenient to carry around.","Second time buying a car vacuum cleaner, and this ..."
ABCA1A8E4DGV1,0209688726,1.0,True,"04 19, 2018",It sucks barely picks up anything definitely not for cars or pretty much anything don't waste your money,sucks
